,Palavras,"(Documento, Ocorrência)"
418,corpo,"[(224, 2), (65, 3), (130, 2), (99, 4), (196, 1), (166, 2), (161, 2), (249, 1), (151, 11), (76, 2), (238, 1), (80, 1), (114, 3), (117, 1), (118, 1), (119, 1), (184, 1), (217, 2), (223, 1), (225, 1), (95, 1)]"
419,criadora,"[(19, 1)]"
420,celebrações,"[(2, 1), (94, 1)]"
421,forçadamente,"[(161, 1), (182, 1)]"
422,truques,"[(13, 1)]"
423,aponta,"[(143, 1), (132, 1), (214, 1), (138, 1), (210, 1), (26, 1), (123, 1), (125, 1), (90, 1), (29, 1)]"
424,macho,"[(25, 1)]"
425,cook.,"[(9, 1)]"
426,ausentes,"[(24, 1), (240, 1)]"
427,experimentaram,"[(184, 1)]"
428,viemos,"[(120, 1), (249, 1), (98, 1), (222, 1)]"
429,minuto,"[(114, 1), (195, 1), (56, 1), (74, 1), (107, 1), (204, 1), (13, 1)]"
430,colapso,"[(16, 1), (128, 1), (34, 2), (244, 1), (69, 1), (150, 1), (108, 1), (111, 1)]"
431,tutelado,"[(177, 1), (100, 1)]"
432,continuação,"[(7, 1)]"
433,irmão,"[(226, 1), (197, 1), (6, 2), (243, 1), (105, 1), (42, 1), (13, 1), (177, 1), (114, 1), (83, 1), (244, 5), (73, 1)]"
434,eliminar,"[(19, 1), (36, 1), (155, 1), (86, 1), (152, 1), (153, 1), (11, 1), (140, 1), (157, 1), (181, 1)]"
435,pedidos,"[(17, 1), (130, 1), (131, 1), (151, 1), (217, 1), (143, 5)]"
436,agentes,"[(112, 1), (65, 1), (166, 2), (7, 4), (241, 1), (106, 1), (151, 4), (138, 1), (223, 1), (173, 1)]"
437,meados,"[(96, 1), (66, 1), (197, 1), (7, 1), (41, 1), (190, 1), (63, 1)]"
438,meadow,"[(80, 1)]"
439,comunitárias,"[(152, 1), (90, 1)]"
440,dificuldades,"[(65, 1), (133, 1), (166, 1), (11, 1), (205, 1), (222, 1), (113, 1), (211, 1), (116, 1), (213, 1), (215, 1), (24, 1), (29, 1), (158, 1)]"
441,insurrecta,"[(245, 1)]"
442,hegemonia,"[(248, 3), (129, 1), (69, 1)]"
443,montoneros,"[(224, 1)]"
444,prevista,"[(219, 1), (70, 1), (136, 1), (202, 1), (203, 1), (173, 1), (142, 1)]"
445,opõe,"[(60, 1), (21, 2)]"
446,previsto,"[(32, 1), (132, 2), (182, 1), (105, 1), (139, 2), (77, 1), (28, 1), (143, 1), (144, 1), (82, 1), (83, 1), (220, 1), (118, 1), (151, 1), (217, 1), (124, 1)]"
447,15:3,"[(160, 1)]"
448,inclusos,"[(165, 1)]"
449,consolida,"[(139, 1)]"
450,ditado,"[(225, 1), (99, 1)]"
451,encruzilhada,"[(160, 1)]"
452,gordinier,"[(178, 1)]"
453,afirma,"[(130, 1), (3, 8), (214, 2), (135, 1), (137, 3), (140, 2), (13, 2), (14, 1), (143, 1), (17, 1), (21, 1), (25, 1), (239, 3), (28, 1), (160, 1), (166, 1), (40, 1), (242, 1), (47, 1), (178, 1), (181, 1), (185, 2), (60, 1), (61, 1), (65, 3), (66, 1), (195, 3), (197, 1), (70, 2), (202, 2), (75, 1), (204, 1), (206, 1), (208, 5), (84, 2), (86, 1), (217, 1), (221, 1), (223, 1), (224, 2), (97, 1), (228, 3), (229, 3), (105, 1), (110, 4), (111, 1), (114, 1), (117, 2), (118, 1), (119, 1), (249, 6), (124, 1), (125, 3)]"
454,mafioso,"[(189, 5)]"
455,dusty,"[(197, 1)]"
456,influi,"[(89, 1)]"
457,cerca.as,"[(249, 1)]"
458,colonna,"[(190, 1)]"
459,liderando,"[(69, 1)]"
460,banquetes,"[(16, 1)]"
461,matemática,"[(160, 5), (60, 1), (110, 3)]"
462,indefinidamente,"[(89, 1)]"
463,sistemas,"[(99, 1), (166, 1), (41, 1), (108, 1), (242, 1), (12, 1), (210, 2), (179, 1), (87, 1), (153, 2), (211, 1)]"
464,vínculo,"[(184, 1), (178, 1), (115, 1), (102, 1), (24, 1), (207, 2), (175, 1)]"
465,2015-2018,"[(207, 1)]"
466,argeplan,"[(206, 1)]"
467,2015-2016,"[(24, 1)]"
468,subjugado,"[(151, 1)]"
469,working,"[(192, 1)]"
470,executivo.ainda,"[(218, 1)]"
471,beneficia,"[(211, 1), (28, 1), (157, 1)]"
472,cronistas,"[(118, 1)]"
473,spivak,"[(33, 1)]"
474,21.000,"[(36, 1)]"
475,persistir,"[(132, 1)]"
476,pendências,"[(109, 1)]"
477,persistiu,"[(74, 1), (6, 1)]"
478,complicações,"[(50, 1), (195, 1)]"
479,empregatício,"[(207, 1)]"
480,valores,"[(128, 1), (1, 1), (133, 1), (138, 1), (76, 3), (207, 7), (147, 1), (20, 1), (89, 1), (219, 1), (220, 3), (125, 1), (223, 1), (37, 2), (166, 1), (39, 2), (42, 1), (108, 1), (173, 1), (110, 1), (47, 1), (240, 1), (115, 1), (183, 1), (124, 1), (189, 1)]"
481,protagonizada,"[(184, 1)]"
482,antiglobalizadores,"[(107, 1)]"
483,genéticas,"[(239, 1)]"
484,entendê-las,"[(167, 1)]"
485,pinta,"[(156, 1)]"
486,ascendência,"[(8, 1)]"
487,apostar,"[(204, 1), (68, 1), (101, 1), (166, 1)]"
488,preceitos,"[(8, 1), (249, 1)]"
489,incrementar,"[(115, 1), (84, 1), (139, 1)]"
490,propagação,"[(179, 1), (78, 1)]"
491,apostam,"[(186, 1), (108, 1)]"
492,incluindo-se,"[(233, 1)]"
493,diminui,"[(185, 1), (140, 1)]"
494,bastante,"[(165, 2), (195, 1), (133, 1), (76, 1), (108, 1), (110, 2), (217, 1), (182, 1), (201, 1), (152, 1), (25, 2), (186, 1), (127, 1), (28, 1), (221, 2), (37, 1)]"
495,pena.battisti,"[(73, 1)]"
496,assassinadas,"[(80, 1), (169, 1), (151, 1)]"
497,colocar,"[(160, 3), (59, 1), (37, 2), (7, 2), (138, 3), (135, 1), (172, 1), (239, 1), (240, 1), (244, 1), (214, 1), (56, 1), (91, 1), (124, 1), (69, 1), (101, 1)]"
498,litro,"[(14, 1)]"
499,indignado,"[(31, 1)]"
500,escalados,"[(7, 1)]"
501,colocam,"[(20, 1), (133, 1), (118, 1), (25, 1), (156, 1), (173, 1), (30, 1)]"
502,indignada,"[(208, 1)]"
503,epidemiologia,"[(203, 1)]"
504,traremos,"[(8, 1)]"
505,justiça,"[(2, 2), (3, 1), (7, 1), (14, 1), (143, 1), (146, 1), (19, 2), (20, 1), (151, 2), (26, 1), (29, 4), (33, 1), (162, 6), (166, 4), (39, 1), (169, 1), (240, 1), (47, 3), (50, 1), (223, 2), (189, 1), (66, 7), (69, 1), (73, 3), (202, 1), (76, 2), (77, 1), (205, 1), (209, 3), (213, 2), (88, 1), (217, 3), (235, 2), (95, 2), (224, 1), (225, 1), (226, 2), (229, 1), (103, 1), (104, 3), (106, 1), (231, 1), (236, 1), (110, 1), (157, 1), (241, 2), (114, 2), (204, 3), (245, 1), (119, 1)]"
506,atas,"[(104, 3)]"
507,perceberão,"[(129, 1)]"
508,economia.na,"[(124, 1)]"
509,decretou,"[(50, 1), (51, 1), (202, 1), (71, 1)]"
510,acionar,"[(214, 1), (102, 1)]"
511,regressiva,"[(107, 1)]"
512,explica.atualmente,"[(7, 1)]"
513,eufrates,"[(249, 2), (245, 1)]"
514,professora,"[(160, 1), (194, 1), (3, 1), (164, 1), (102, 3), (7, 1), (135, 1), (29, 2), (242, 1), (214, 1), (125, 1), (127, 1)]"
515,artefato,"[(129, 1)]"
516,tridimensionais,"[(60, 2)]"
517,cólera,"[(184, 1), (179, 1), (70, 4)]"
518,cartilagem,"[(159, 1)]"
519,jim,"[(176, 1)]"
520,mártir.,"[(249, 1)]"
521,confiam,"[(218, 1), (211, 1)]"
522,baixos.tanure,"[(133, 1)]"
523,temem,"[(65, 1), (101, 1), (86, 1), (151, 1), (45, 1), (166, 1)]"
524,crédito,"[(96, 1), (128, 2), (34, 1), (124, 1), (142, 1), (79, 1)]"
525,temer,"[(162, 9), (37, 1), (166, 1), (168, 1), (73, 1), (138, 2), (203, 3), (204, 8), (206, 6), (232, 1), (18, 1), (115, 1), (236, 1), (248, 1), (202, 7), (229, 1)]"
526,despertaram,"[(41, 1)]"
527,lichtenstein,"[(118, 6)]"
528,pesados,"[(136, 1), (61, 1)]"
529,relacionados,"[(128, 1), (178, 1), (211, 1), (164, 1), (165, 1), (119, 1), (84, 1), (242, 1), (206, 1)]"
530,quartel,"[(99, 1), (6, 1)]"
531,cidadania,"[(209, 2), (82, 1), (115, 3), (166, 1), (151, 1), (171, 1), (173, 1), (199, 1), (203, 2)]"
532,globais,"[(181, 1), (26, 1), (29, 1), (23, 1)]"
533,exemplares.em,"[(197, 1)]"
534,cátedra,"[(210, 1)]"
535,ex-oficial,"[(115, 1)]"
536,psl-sp,"[(225, 1), (235, 1), (228, 1), (205, 2), (229, 1)]"
537,salada,"[(32, 1)]"
538,emergência,"[(112, 1), (81, 5), (97, 4), (70, 1), (151, 1), (217, 1)]"
539,caracterizam,"[(12, 1)]"
540,desaparecimento,"[(104, 2), (114, 1), (7, 1)]"
541,coalhado,"[(172, 1)]"
542,generalizam,"[(92, 1)]"
543,trauma,"[(80, 1), (212, 1), (151, 1)]"
544,internet,"[(197, 1), (70, 1), (243, 1), (202, 1), (236, 1), (141, 1), (125, 2), (210, 1), (19, 3), (214, 4), (153, 12), (185, 3), (239, 2), (124, 1), (189, 1), (30, 1), (211, 8)]"
545,portadores,"[(95, 1)]"
546,minimizam,"[(205, 1)]"
547,lucrativa,"[(197, 1)]"
548,faíscas,"[(138, 1)]"
549,minimizar,"[(136, 1), (153, 1), (211, 1), (4, 1)]"
550,história.questionado,"[(223, 1)]"
551,destacava,"[(11, 1)]"
552,brasil,"[(1, 1), (3, 4), (6, 2), (8, 3), (10, 1), (12, 1), (14, 1), (15, 5), (18, 3), (19, 11), (21, 2), (22, 6), (23, 2), (24, 2), (25, 4), (26, 10), (32, 2), (34, 1), (37, 1), (42, 5), (44, 1), (45, 2), (47, 1), (59, 4), (69, 3), (73, 4), (76, 2), (89, 1), (92, 1), (95, 1), (97, 2), (101, 3), (105, 5), (111, 2), (115, 5), (116, 1), (120, 2), (121, 2), (123, 2), (124, 2), (126, 2), (127, 3), (130, 1), (133, 4), (134, 1), (138, 3), (139, 2), (140, 3), (143, 2), (146, 3), (147, 1), (149, 4), (150, 1), (151, 45), (154, 2), (155, 3), (156, 3), (160, 5), (161, 1), (164, 3), (165, 1), (166, 15), (167, 1), (172, 7), (173, 7), (174, 2), (178, 1), (183, 1), (184, 2), (190, 2), (199, 2), (201, 6), (204, 4), (205, 1), (208, 3), (210, 6), (211, 2), (212, 2), (213, 2), (214, 2), (215, 2), (216, 4), (217, 1), (218, 2), (222, 2), (223, 2), (224, 4), (228, 1), (229, 5), (230, 4), (232, 1), (234, 1), (235, 1), (238, 7), (239, 1), (241, 1), (242, 1), (248, 9)]"
553,modest,"[(199, 1), (175, 1)]"
554,istambul,"[(249, 1)]"
555,deslizar,"[(166, 1)]"
556,gordon,"[(107, 1), (197, 1)]"
557,brasis,"[(151, 4)]"
558,fragmentada,"[(148, 1), (7, 1)]"
559,misturar,"[(13, 1), (158, 1)]"
560,ong,"[(112, 1), (242, 1), (133, 1), (70, 1), (221, 1), (61, 2)]"
561,sintomático,"[(154, 1)]"
562,falsos,"[(3, 1), (181, 2)]"
563,misturam,"[(40, 1)]"
564,fotografar,"[(94, 1)]"
565,onu,"[(64, 2), (97, 1), (3, 1), (101, 2), (70, 1), (249, 1), (8, 1), (185, 1), (29, 2)]"
566,fixação,"[(217, 1), (244, 1)]"
567,expô-las,"[(188, 2)]"
568,imaginá-la,"[(16, 1)]"
569,parando,"[(238, 1)]"
570,apertaram,"[(225, 1)]"
571,tramitando,"[(206, 1)]"
572,pareciam,"[(16, 1), (216, 1), (196, 1), (244, 1)]"
573,falso.,"[(89, 1)]"
574,fugiram,"[(16, 1), (245, 1)]"
575,proibidão,"[(149, 1)]"
576,devito,"[(184, 1), (186, 2)]"
577,civilizadas,"[(173, 1)]"
578,surgem,"[(108, 1), (178, 1), (60, 1)]"
579,mescla,"[(167, 1)]"
580,metafóricos,"[(154, 1)]"
581,tradução,"[(193, 1), (146, 1), (211, 1), (5, 1), (151, 1), (89, 1), (11, 1), (210, 1)]"
582,matizes,"[(156, 1), (29, 1)]"
583,entraves,"[(10, 1)]"
584,reformado,"[(208, 1), (115, 2), (174, 1), (166, 2), (218, 1), (172, 1), (237, 1), (206, 1)]"
585,controlada,"[(82, 1), (220, 1), (230, 1), (135, 1)]"
586,acrescentava,"[(22, 2)]"
587,paixão,"[(177, 1), (178, 1), (76, 2)]"
588,acentuadamente,"[(201, 1)]"
589,controlado,"[(240, 1), (86, 1), (151, 1), (88, 1), (106, 1), (7, 1)]"
590,queima,"[(76, 1), (230, 1), (7, 1)]"
591,respostas.os,"[(125, 1)]"
592,1974.,"[(6, 1)]"
593,fizessem,"[(160, 1), (129, 1), (175, 1)]"
594,captado,"[(147, 1)]"
595,fiador,"[(168, 1)]"
596,zoo,"[(184, 4), (195, 1)]"
597,logotipo,"[(217, 1), (243, 1)]"
598,humanas,"[(17, 1), (108, 1)]"
599,conhecimentos,"[(34, 1), (204, 1)]"
600,risível,"[(163, 1), (190, 1)]"
601,propunha,"[(160, 1), (210, 1), (195, 1)]"
602,hristova,"[(29, 2)]"
603,autonômicas—,"[(167, 1)]"
604,vizinhança,"[(101, 1)]"
605,deixei,"[(195, 1)]"
606,deixem,"[(163, 1), (188, 1)]"
607,phil,"[(195, 1), (117, 1)]"
608,profissionais,"[(161, 1), (130, 1), (147, 1), (69, 1), (225, 1), (45, 1), (47, 2), (19, 1), (23, 1), (196, 1), (179, 1), (123, 1)]"
609,nazistas,"[(17, 1), (188, 1), (181, 1)]"
610,demonstrou,"[(128, 1), (225, 1), (18, 1), (182, 1), (105, 1), (26, 1), (240, 2)]"
611,ajudaria,"[(112, 1)]"
612,enfrentando,"[(216, 1), (113, 1), (30, 1)]"
613,wynn,"[(34, 1)]"
614,solteirona,"[(197, 1)]"
615,analisado.a,"[(217, 1)]"
616,gesticula,"[(249, 1)]"
617,unilateralmente,"[(125, 1)]"
618,imaginei,"[(63, 2)]"
619,macabras,"[(198, 1)]"
620,barulhentas,"[(19, 1)]"
621,córdoba,"[(63, 1)]"
622,irmãos,"[(176, 1), (97, 1), (114, 2), (197, 1), (6, 1), (177, 1), (184, 1), (203, 1), (178, 1), (245, 1)]"
623,presse,"[(64, 1), (163, 1), (70, 1)]"
624,ocasionado,"[(88, 1)]"
625,associações,"[(107, 1), (213, 1), (219, 1)]"
626,seguidor,"[(17, 1)]"
627,seguidos,"[(240, 1), (238, 1)]"
628,guardei,"[(195, 1)]"
629,assina,"[(211, 1)]"
630,alimentaram,"[(66, 1)]"
631,ela.,"[(187, 1)]"
632,monda,"[(79, 2)]"
633,mondo,"[(79, 3)]"
634,estabelecidas,"[(88, 1), (96, 1), (221, 2), (237, 1)]"
635,infraestruturas,"[(40, 1)]"
636,materialmente,"[(128, 1)]"
637,pinturas,"[(164, 3), (60, 1), (181, 3), (118, 1)]"
638,asno,"[(9, 1)]"
639,39°,"[(210, 1)]"
640,informando-se,"[(86, 1)]"
641,diria,"[(193, 1), (195, 1), (244, 1), (166, 1), (225, 1), (25, 1), (127, 1)]"
642,evitada,"[(144, 1), (239, 1)]"
643,evitado,"[(111, 1)]"
644,blasfemos,"[(15, 1)]"
645,temporada,"[(71, 1), (200, 2), (41, 1), (45, 1), (176, 1), (49, 2), (242, 1), (86, 1), (55, 2), (184, 1), (57, 1), (58, 2)]"
646,norte-irlandeses,"[(82, 1), (107, 1)]"
647,vendem,"[(181, 1)]"
648,almoçar,"[(166, 1)]"
649,demonstraram,"[(107, 1), (20, 1), (166, 1)]"
650,moderavam,"[(126, 1)]"
651,vender,"[(32, 1), (65, 1), (158, 1), (118, 1), (7, 1), (136, 1), (96, 1), (125, 1), (142, 1), (197, 1)]"
652,vendeu,"[(184, 1), (197, 2)]"
653,resolvesse,"[(170, 1)]"
654,móvel,"[(124, 1)]"
655,bêbado,"[(184, 1)]"
656,porto.a,"[(87, 1)]"
657,biógrafo,"[(9, 1)]"
658,adultos,"[(96, 1), (160, 1), (194, 2), (36, 1), (198, 1), (242, 1), (205, 1), (15, 1), (178, 1), (184, 1), (186, 1), (221, 1), (157, 5), (159, 1)]"
659,sabendo,"[(114, 1), (199, 1), (197, 1), (223, 1), (175, 1)]"
660,alcançar,"[(64, 1), (198, 1), (194, 1), (69, 1), (166, 1), (42, 1), (224, 1), (46, 1), (81, 1), (82, 1), (83, 2), (185, 1), (151, 1), (152, 1), (25, 1), (244, 1), (220, 1), (153, 1)]"
661,orelhudo,"[(198, 1)]"
662,droga,"[(244, 1), (7, 1)]"
663,pregou,"[(151, 1)]"
664,gostasse,"[(183, 1)]"
665,entregar,"[(16, 1), (17, 1), (65, 2), (97, 1), (168, 2), (169, 1), (138, 1), (204, 1), (205, 1), (238, 1)]"
666,entregas,"[(143, 2)]"
667,west,"[(11, 1)]"
668,cavernas,"[(160, 1)]"
669,tomem,"[(153, 1)]"
670,tomek,"[(46, 1)]"
671,formei,"[(65, 1)]"
672,tomei,"[(69, 1), (230, 1)]"
673,substituí-la,"[(158, 1)]"
674,hashtag,"[(80, 1), (19, 1), (140, 1)]"
675,cantatas,"[(177, 1)]"
676,d'or,"[(226, 1)]"
677,compartilhava,"[(9, 1), (11, 1)]"
678,título,"[(129, 1), (71, 1), (145, 1), (105, 1), (10, 2), (11, 1), (242, 1), (49, 1), (146, 1), (115, 1), (169, 1), (56, 1), (57, 2), (120, 1)]"
679,uol,"[(47, 1)]"
680,servidão,"[(30, 1)]"
681,deseja,"[(32, 1), (112, 1), (123, 1), (160, 1), (151, 1)]"
682,explícitas,"[(190, 1)]"
683,residentes,"[(249, 1), (108, 2), (173, 1), (94, 1)]"
684,estatísticas,"[(16, 1), (211, 1), (86, 1), (138, 1), (108, 1), (94, 1)]"
685,semanario,"[(133, 1)]"
686,desejo,"[(170, 1), (215, 1), (109, 1), (82, 2), (19, 1), (84, 1), (22, 1), (151, 2), (249, 1), (223, 1), (125, 1), (190, 1), (31, 1)]"
687,hídricos,"[(179, 1)]"
688,pegasse,"[(104, 1)]"
689,desatou,"[(242, 1), (107, 1)]"
690,contemplam,"[(209, 1), (107, 1)]"
691,começará,"[(97, 1), (100, 1)]"
692,dobrado,"[(148, 1)]"
693,pênis,"[(164, 1), (175, 1)]"
694,confirmado,"[(152, 1), (226, 1), (28, 1), (7, 1)]"
695,contemplar,"[(173, 1)]"
696,confirmada,"[(212, 1), (21, 1), (231, 1)]"
697,desempenharam,"[(24, 1), (140, 1)]"
698,comer,"[(99, 1), (149, 1), (119, 1)]"
699,cardápio,"[(184, 1)]"
700,árabes,"[(105, 1), (42, 1), (101, 2)]"
701,vulneráveis,"[(33, 1), (179, 1), (239, 1), (203, 2), (161, 1)]"
702,êxitos,"[(244, 1)]"
703,calouros,"[(110, 1)]"
704,arruinar,"[(150, 1)]"
705,fala-se,"[(78, 1)]"
706,exercia,"[(207, 1)]"
707,brexit.através,"[(82, 1)]"
708,discutido,"[(97, 1), (225, 2), (127, 1)]"
709,aborto,"[(33, 1), (146, 4), (20, 1), (161, 3)]"
710,culpados,"[(230, 1), (30, 1)]"
711,descontraída,"[(26, 1)]"
712,ellen,"[(9, 1), (11, 1), (217, 7)]"
713,categoria,"[(248, 2), (147, 1), (244, 1), (110, 1), (119, 1), (232, 1), (153, 3), (125, 1), (142, 1), (205, 1)]"
714,postas,"[(83, 1), (78, 1)]"
715,postar,"[(197, 1), (111, 1)]"
716,rompe,"[(79, 1)]"
717,tamaris,"[(187, 1)]"
718,solução,"[(32, 1), (65, 1), (129, 1), (239, 1), (248, 2), (170, 1), (107, 2), (108, 1), (125, 1), (16, 1), (113, 1), (82, 1), (211, 1), (150, 1), (185, 1), (160, 2), (89, 1), (122, 1), (143, 4), (29, 1)]"
719,controladora,"[(21, 1)]"
720,world,"[(153, 1), (130, 1)]"
721,assistiram,"[(197, 1)]"
722,líder,"[(64, 1), (235, 3), (69, 2), (6, 1), (225, 3), (8, 1), (137, 1), (204, 1), (205, 5), (209, 2), (82, 1), (83, 1), (213, 1), (150, 1), (151, 1), (152, 1), (26, 1), (91, 1), (90, 2), (95, 2), (165, 1), (34, 1), (101, 1), (105, 1), (106, 3), (107, 2), (46, 1), (49, 1), (181, 1), (246, 1), (185, 1), (122, 1), (249, 1), (124, 1), (189, 1)]"
723,conheço,"[(222, 1), (69, 1), (14, 1)]"
724,alfandegária,"[(90, 1), (107, 1)]"
725,tvs,"[(229, 1)]"
726,subordinação,"[(25, 1), (20, 1)]"
727,inidôneo,"[(202, 1)]"
728,silício,"[(125, 1)]"
729,incorretos,"[(246, 1)]"
730,perdia,"[(195, 1), (84, 1)]"
731,sajama,"[(109, 1)]"
732,clube.ganhar,"[(120, 1)]"
733,regulação,"[(32, 1), (216, 1), (211, 1), (125, 3)]"
734,envolvendo-a,"[(197, 1)]"
735,behravesh,"[(26, 1)]"
736,johnston,"[(198, 1)]"
737,desaparecidos,"[(224, 1), (114, 1), (70, 1), (166, 1), (104, 1), (169, 2), (238, 1)]"
738,maltratada,"[(161, 1)]"
739,descontextualizadas,"[(180, 1)]"
740,almejava,"[(151, 1), (7, 1)]"
741,concordância,"[(3, 1)]"
742,sacrifícios,"[(96, 1), (133, 1)]"
743,missa,"[(107, 1), (164, 5)]"
744,apequenar-se,"[(166, 1)]"
745,abandonado,"[(240, 1), (244, 1), (197, 1), (94, 1), (7, 1)]"
746,ocorria,"[(16, 1)]"
747,hegemônica,"[(146, 1), (3, 1)]"
748,dormir,"[(184, 1), (65, 1), (154, 4), (180, 1), (232, 2)]"
749,conclui,"[(112, 1), (129, 2), (114, 1), (217, 1), (123, 1), (239, 1), (223, 1)]"
750,modificar,"[(153, 1), (37, 1)]"
751,conclua,"[(66, 1)]"
752,allan,"[(116, 2), (62, 1)]"
753,yaya,"[(122, 1)]"
754,continente,"[(160, 1), (89, 1), (194, 1), (224, 2), (150, 1)]"
755,parâmetros,"[(76, 1), (4, 1)]"
756,quaresma,"[(164, 1)]"
757,with,"[(192, 1)]"
758,rogério,"[(121, 1), (115, 1), (213, 1), (231, 1)]"
759,esforço,"[(128, 1), (166, 1), (182, 1), (151, 2), (186, 1), (221, 3), (47, 1)]"
760,polêmico,"[(17, 1), (163, 1), (11, 1), (149, 1), (185, 1)]"
761,dirty,"[(189, 1)]"
762,polêmica,"[(238, 1), (2, 1), (3, 1), (229, 1), (42, 1), (107, 1), (29, 1), (174, 2), (63, 1)]"
763,cuestión,"[(133, 1)]"
764,ex-terrorista,"[(73, 2)]"
765,goleador,"[(57, 1)]"
766,mundo,"[(4, 4), (5, 1), (7, 3), (8, 1), (10, 1), (11, 2), (13, 1), (16, 1), (17, 4), (18, 3), (19, 2), (20, 3), (23, 1), (25, 1), (26, 2), (27, 1), (28, 2), (31, 1), (32, 1), (34, 2), (36, 1), (37, 2), (56, 2), (58, 2), (59, 4), (60, 4), (63, 3), (69, 4), (73, 1), (76, 1), (87, 3), (89, 13), (92, 1), (94, 1), (95, 1), (101, 1), (107, 1), (109, 2), (110, 1), (111, 1), (115, 1), (118, 2), (121, 2), (124, 1), (125, 4), (130, 9), (131, 1), (132, 1), (135, 1), (136, 1), (137, 3), (140, 2), (142, 1), (143, 1), (145, 5), (149, 1), (150, 1), (151, 1), (152, 2), (153, 3), (155, 1), (157, 5), (158, 1), (160, 2), (163, 1), (164, 1), (166, 1), (167, 1), (168, 1), (173, 2), (174, 4), (175, 1), (177, 1), (180, 1), (181, 1), (183, 3), (184, 1), (187, 1), (188, 1), (189, 5), (192, 1), (193, 1), (197, 4), (198, 1), (199, 2), (210, 2), (211, 1), (216, 1), (217, 1), (223, 1), (232, 1), (243, 2), (244, 1), (245, 2), (247, 1), (248, 2)]"
767,avisados,"[(112, 1)]"
768,armas.a,"[(164, 1)]"
769,dedicam-se,"[(147, 1)]"
770,denunciar,"[(65, 1), (114, 1), (99, 1), (229, 1), (166, 1), (7, 1), (59, 1), (242, 2), (223, 1)]"
771,1444,"[(194, 1)]"
772,1441,"[(194, 1)]"
773,sucessória,"[(162, 1)]"
774,periféricos,"[(151, 2)]"
775,governo.em,"[(235, 1)]"
776,urbana/rural,"[(152, 1)]"
777,turvos,"[(86, 1)]"
778,inventar,"[(248, 1), (153, 1), (4, 1), (13, 1), (166, 1)]"
779,lightfoot,"[(113, 5)]"
780,natalie,"[(11, 1), (198, 1), (182, 1)]"
781,natalia,"[(176, 1), (141, 1)]"
782,dyer,"[(176, 1)]"
783,potencialmente,"[(165, 1)]"
784,senna,"[(221, 1)]"
785,prestigiosa,"[(34, 1)]"
786,prestigioso,"[(129, 1)]"
787,desfaçam,"[(32, 1)]"
788,respondida,"[(173, 1)]"
789,cristãos,"[(8, 2), (223, 1), (69, 1), (117, 1)]"
790,bismarck,"[(240, 1)]"
791,roman.a,"[(236, 1)]"
792,morrendo,"[(184, 1), (208, 1)]"
793,nora,"[(104, 1), (226, 1), (6, 1)]"
794,tratemos,"[(165, 1)]"
795,feria,"[(2, 1)]"
796,coração,"[(160, 1), (99, 1), (195, 2), (42, 1), (79, 2), (16, 1), (184, 1), (178, 1), (83, 1), (180, 1), (56, 1), (249, 1), (216, 1), (158, 1), (223, 1)]"
797,exaustos,"[(244, 1), (245, 1)]"
798,ferir,"[(105, 1)]"
799,feriu,"[(246, 1)]"
800,paraibana,"[(14, 1)]"
801,estacionasse,"[(196, 1)]"
802,substituído,"[(35, 1), (3, 1), (121, 1), (37, 1), (71, 1)]"
803,reconheceu,"[(224, 1), (242, 1), (83, 1), (246, 1), (104, 1), (77, 1)]"
804,reconhecer,"[(33, 1), (198, 1), (151, 1), (57, 1), (206, 1), (175, 1)]"
805,organizador,"[(115, 1)]"
806,substituída,"[(185, 1)]"
807,videovigilância,"[(131, 1)]"
808,vencedoras,"[(135, 1)]"
809,hepatite,"[(179, 1)]"
810,reconhecem,"[(107, 1), (247, 1), (77, 1), (109, 1)]"
811,empreendimento,"[(11, 1)]"
812,provocou,"[(194, 1), (180, 2), (10, 1), (172, 1), (82, 1), (205, 1)]"
813,195,"[(240, 1)]"
814,enormes,"[(192, 1), (112, 1), (130, 1), (163, 1), (167, 1), (108, 1), (173, 1), (16, 1), (218, 1), (186, 1), (157, 1)]"
815,190,"[(136, 1), (109, 1)]"
816,harshi,"[(249, 6)]"
817,conjuga,"[(165, 1)]"
818,assistências,"[(72, 1), (41, 1)]"
819,novidade,"[(129, 1), (130, 1), (196, 1), (166, 1), (102, 1), (135, 1), (161, 1), (204, 1), (45, 1), (125, 1)]"
820,redutos,"[(166, 1)]"
821,leis,"[(161, 1), (101, 1), (169, 3), (42, 1), (171, 1), (206, 1), (145, 1), (146, 1), (117, 2), (9, 2), (248, 2), (153, 3), (249, 2), (125, 1), (185, 1)]"
822,leio,"[(69, 1)]"
823,leia,"[(208, 1), (211, 1), (198, 1)]"
824,deboche,"[(216, 1)]"
825,uruguaios,"[(224, 3), (38, 1)]"
826,ajudá-los,"[(69, 1)]"
827,exigido,"[(121, 1), (91, 1), (155, 1), (244, 1)]"
828,exigida,"[(137, 1), (182, 1), (46, 1)]"
829,ataques.sejamos,"[(151, 1)]"
830,portaria,"[(217, 1), (76, 1), (221, 1), (233, 1)]"
831,depara,"[(115, 1)]"
832,suspeitava,"[(49, 1), (219, 1)]"
833,matado,"[(74, 1), (172, 1), (166, 1)]"
834,silva,"[(1, 3), (2, 1), (6, 1), (73, 1), (234, 1), (76, 1), (226, 1), (14, 1), (115, 1), (236, 1), (183, 1), (26, 1)]"
